accuracy,researcher,date,familiarity,file,pixels,test,cla,gam,con,den,bil,wav,uns,hig,wie
mcc,fortin,historic,known,fortin_500h,36152320,0.84618237,0.7384911,0.85615165,0.78737229,0.84585563,0.81655806,0.82795592,0.83230885,0.78911797,0.83086806
wm_f1,fortin,historic,known,fortin_500h,36152320,0.8859636,0.79680791,0.893193,0.82551976,0.88191572,0.84859139,0.87015389,0.87329291,0.83083647,0.87249614
iwm_iou,fortin,historic,known,fortin_500h,36152320,0.82087663,0.71219716,0.82950288,0.76713049,0.81732975,0.79570726,0.80685317,0.80675393,0.75702668,0.80193594
mcc,fortin,repeat,known,fortin_500r,36152320,0.9254779,0.85567107,0.91553001,0.92373007,0.89002408,0.88220566,0.88916309,0.88916287,0.91274645,0.91679379
wm_f1,fortin,repeat,known,fortin_500r,36152320,0.94713939,0.8979847,0.9405386,0.94478422,0.92282153,0.92063603,0.92385431,0.92385417,0.93709582,0.94070576
iwm_iou,fortin,repeat,known,fortin_500r,36152320,0.90819115,0.8313716,0.89841745,0.90552227,0.8682294,0.86655603,0.87079682,0.87079662,0.89272155,0.89623972
mcc,fortin,historic,known,fortin_183h,17540409,0.88303519,0.62324289,0.87388461,0.87364754,0.87373561,0.8633192,0.84248114,0.75668844,0.8216299,0.69148589
wm_f1,fortin,historic,known,fortin_183h,17540409,0.92802212,0.75467543,0.9215152,0.9219826,0.92224745,0.9159479,0.90229975,0.84996965,0.88947439,0.79592294
iwm_iou,fortin,historic,known,fortin_183h,17540409,0.8802375,0.62347969,0.87084322,0.87323746,0.86968403,0.86063405,0.8329609,0.77548901,0.83351959,0.69703141
mcc,fortin,repeat,known,fortin_183r,17540409,0.92829996,0.8866864,0.92931672,0.91666111,0.89173724,0.82051729,0.92175411,0.92318193,0.92861896,0.92848782
wm_f1,fortin,repeat,known,fortin_183r,17540409,0.95548335,0.93248665,0.95629875,0.94766395,0.93244802,0.88795604,0.95233506,0.95130011,0.95521625,0.95573851
iwm_iou,fortin,repeat,known,fortin_183r,17540409,0.92360374,0.89185922,0.92468946,0.91156223,0.8879850,0.82405541,0.91881717,0.91674131,0.9238207,0.92428629
mcc,fortin,historic,known,fortin_222h,16790052,0.86439944,0.79186391,0.84848571,0.82480591,0.81604968,0.87299151,0.79439769,0.82896376,0.8279116,0.69381456
wm_f1,fortin,historic,known,fortin_222h,16790052,0.91415144,0.86869572,0.9019931,0.8846910,0.88218608,0.91899017,0.87255143,0.88451209,0.88339103,0.78770772
iwm_iou,fortin,historic,known,fortin_222h,16790052,0.86154828,0.81054172,0.8496160,0.82855122,0.80981947,0.86617831,0.78910639,0.82555361,0.82436346,0.67622263
mcc,fortin,repeat,known,fortin_222r,16790052,0.89350646,0.84828802,0.89166069,0.84572578,0.85062774,0.87849846,0.89553136,0.8909876,0.88549559,0.88911793
