lcc,researcher,date,familiarity,file,pixels,test,cla,gam,con,den,bil,wav,uns,hig,wie
nc,fortin,historic,known,fortin_500h,16832074,0.97134147,0.91818548,0.97360739,0.96980788,0.97573032,0.9742959,0.97086421,0.96975965,0.96337046,0.96987245
bmw,fortin,historic,known,fortin_500h,1,1,0.00033118,1,0.0000209,1,0.00010212,1,1,1,1
c,fortin,historic,known,fortin_500h,7268817,0.9656694,0.93650919,0.9675263,0.9580431,0.96329723,0.95440741,0.95322584,0.96376029,0.94804272,0.95497637
hs,fortin,historic,known,fortin_500h,2970904,0.63634519,0.58197444,0.6654712,0.58339988,0.65024309,0.54293325,0.55591009,0.68726276,0.55877396,0.6893156
sgr,fortin,historic,known,fortin_500h,4762620,0.87143566,0.81327978,0.87132834,0.8343651,0.84591786,0.88982019,0.88343836,0.86222161,0.76743446,0.83129291
wl,fortin,historic,known,fortin_500h,2740619,0.51793233,0.08851117,0.55914538,0.00975494,0.46269061,0.06683025,0.36854451,0.43352867,0.24557293,0.47996892
wt,fortin,historic,known,fortin_500h,14652,0.00013615,0.00013649,0.00013596,0.00013649,0.00013572,0.00013631,0.00040623,0.00013649,0.00013649,0.00013646
si,fortin,historic,known,fortin_500h,1562632,0.76817727,0.4474914,0.77505882,0.52668252,0.78652311,0.8368431,0.84377883,0.58026189,0.60276905,0.61038598
ra,fortin,historic,known,fortin_500h,1,0.01,0.0000249,0.01769912,0.0056338,0.14285714,0.03389831,0.0000549,0.08695652,0.5,0.06666667
nc,fortin,repeat,known,fortin_500r,14981503,0.98160915,0.95229596,0.97373419,0.99402486,0.95985544,0.94875596,0.95263084,0.95263077,0.98820625,0.98072086
bmw,fortin,repeat,known,fortin_500r,1,1,0.00272851,1,1,1,1,1,1,1,1
c,fortin,repeat,known,fortin_500r,9658416,0.97990741,0.96070799,0.98005134,0.97062733,0.97421082,0.97607066,0.97977027,0.97977027,0.97551234,0.97731232
hs,fortin,repeat,known,fortin_500r,2116936,0.65791749,0.5398368,0.59858984,0.64359044,0.58358383,0.50887611,0.544544,0.54454303,0.63452029,0.68830281
sgr,fortin,repeat,known,fortin_500r,5902239,0.90819584,0.79272573,0.91168627,0.89472505,0.85886998,0.90450238,0.89516864,0.8951685,0.86303623,0.87440995
wl,fortin,repeat,known,fortin_500r,2902907,0.96552653,0.94469974,0.96002834,0.94996933,0.94857022,0.93847363,0.93476547,0.9347651,0.93123875,0.94698301
wt,fortin,repeat,known,fortin_500r,3039,0.15372549,0.02018306,0.1443299,0.26348692,0.15132979,0.04292284,0.07997838,0.07997838,0.22544081,0.07750473
si,fortin,repeat,known,fortin_500r,587278,0.876063,0.6034507,0.87425,0.83033502,0.87520916,0.85438258,0.87617896,0.87617896,0.86909116,0.86743194
ra,fortin,repeat,known,fortin_500r,1,0.03076923,1,0.00020956,0.00028293,0.00018534,1,0.00029516,0.00029516,0.28571429,1
nc,fortin,historic,known,fortin_183h,9167043,0.98623101,0.82225115,0.98600503,0.98749078,0.98081413,0.97630818,0.96103226,0.96825153,0.98424142,0.93199301
bmw,fortin,historic,known,fortin_183h,1,1,0.00167364,1,1,1,0.5,1,1,1,1
c,fortin,historic,known,fortin_183h,5232745,0.94440949,0.80790023,0.93684536,0.9426711,0.9351039,0.93435887,0.89749071,0.86331438,0.92360651,0.79032797
hs,fortin,historic,known,fortin_183h,2330945,0.78756552,0.53596502,0.76181471,0.75856684,0.78801803,0.7764256,0.79415763,0.5412413,0.62096708,0.4113798
sgr,fortin,historic,known,fortin_183h,559307,0.62164072,0.36619718,0.61900374,0.57444565,0.61880369,0.58197636,0.63781892,0.41225715,0.48823852,0.45115153
wl,fortin,historic,known,fortin_183h,178192,0.42437342,0.0000112,0.36243327,0.35559509,0.41237925,0.37240707,0.42985429,0.00015712,0.0000112,0.24351994
wt,fortin,historic,known,fortin_183h,23717,0.21024617,0.000082,0.22885139,0.28275703,0.22193728,0.2167391,0.21834407,0.00075828,0.000079,0.32475841
si,fortin,historic,known,fortin_183h,48458,0.64270375,0.37233671,0.63472446,0.56303745,0.6314064,0.41624592,0.63750388,0.4762677,0.52919387,0.39778079
ra,fortin,historic,known,fortin_183h,1,0.00012837,0.0000741,0.00010831,0.00041408,0.00015457,0.00010877,0.00048146,0.00138408,0.00458716,1
nc,fortin,repeat,known,fortin_183r,9041859,0.9973415,0.99667638,0.99785761,0.9970216,0.9901782,0.97178452,0.99603194,0.9975634,0.99839537,0.99767583
bmw,fortin,repeat,known,fortin_183r,1,1,1,1,1,1,1,1,1,1,1
c,fortin,repeat,known,fortin_183r,5938598,0.96617029,0.95211881,0.96469888,0.95781143,0.94686738,0.90984639,0.96539709,0.95945321,0.96584623,0.96737392
hs,fortin,repeat,known,fortin_183r,1806538,0.80604454,0.67977089,0.81106398,0.76256021,0.71012412,0.53001736,0.79279591,0.7818634,0.8058284,0.80908509
sgr,fortin,repeat,known,fortin_183r,621213,0.75949443,0.62380789,0.78111463,0.75083925,0.68866796,0.58614754,0.7391451,0.76822581,0.75802838,0.73656983
wl,fortin,repeat,known,fortin_183r,71589,0.62964161,0.5719575,0.57079878,0.59673929,0.51637959,0.54385016,0.6053554,0.62722273,0.42927764,0.6359324
wt,fortin,repeat,known,fortin_183r,17096,0.03358445,0.17418616,0.0568311,0.00396964,0.03678187,0.07064711,0.04223279,0.08835027,0.08838609,0.08824791
si,fortin,repeat,known,fortin_183r,43514,0.69959272,0.7047126,0.69248102,0.74949929,0.71541743,0.53775957,0.68526572,0.74566517,0.75515231,0.73793061
ra,fortin,repeat,known,fortin_183r,1,0.0001485,0.0000241,0.0000845,0.0000988,0.00173461,0.00017623,0.0000345,0.00027964,1,0.00253165
nc,fortin,historic,known,fortin_222h,8900240,0.98597431,0.98616053,0.98555681,0.98571716,0.96166914,0.98391322,0.94730845,0.9843526,0.98094703,0.89514056
bmw,fortin,historic,known,fortin_222h,1,1,1,1,1,1,1,1,1,1,1
c,fortin,historic,known,fortin_222h,4615379,0.93389942,0.88606832,0.93257657,0.90941487,0.89158454,0.94151308,0.86249846,0.90293104,0.90396922,0.72921957
hs,fortin,historic,known,fortin_222h,963191,0.59040797,0.35254248,0.48153562,0.49145405,0.55826177,0.65037832,0.56952235,0.4025824,0.38728393,0.37227609
